Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
BEIJING NORTH STAR 'H' - MRKT VALUE TO BOOK,K:BNS(MTBV),K$,0.2,0.2,0.2,0.2,0.23,0.25,0.36,0.33,0.42,0.38,0.34,0.35,0.38,0.41,0.43,0.45,0.5,0.44,0.42,0.46,0.41,0.42,0.44,0.38,0.64,0.43,0.42,0.35,0.32,0.3,0.3,0.3,0.29,0.31,0.38,0.25,0.26,0.26,0.22,0.22,0.36,0.38,0.47,0.49,0.43,0.54,0.69,0.67,0.65,0.35,0.37,0.33,0.6,0.88,1.64,2.36,1.96,1.14,1.31,0.9,0.66,0.88,0.46
BEIJING NORTH STAR 'H' - MARKET VALUE,K:BNS(MV),K$,1025.18,1025.18,1025.18,1025.18,1201.93,1272.64,1802.9,1668.57,2078.64,1880.67,1576.65,1654.43,1767.55,1916.02,2015.01,2064.5,2333.17,2036.22,1682.71,1866.53,1668.57,1703.92,1809.97,1583.72,2651.32,1802.9,1746.34,1477.67,1329.2,1258.5,1237.28,1258.5,1216.07,1293.85,1484.74,975.69,989.83,1018.11,813.07,813.07,1286.78,1357.48,1491.81,1555.44,1350.41,1696.85,1937.23,1894.81,1831.18,975.69,919.13,827.21,1484.74,2184.69,3386.62,4885.5,4044.15,2368.52,2432.15,1675.64,1230.21,1643.82,1371.62
BEIJING NORTH STAR 'H' - TOT ASSETS/CMN EQUITY RATIO,K:BNS(WC08287A),K$,4.272,NA,4.507,NA,4.917,NA,4.767,NA,4.939,NA,5.049,NA,4.956,NA,4.735,NA,4.574,NA,4.151,NA,3.747,NA,3.272,NA,2.916,NA,2.77,NA,2.658,NA,2.5,NA,2.521,NA,2.411,NA,2.4,NA,2.458,NA,2.315,NA,2.385,NA,2.565,NA,2.552,NA,2.642,NA,2.708,NA,2.605,NA,2.366,NA,1.744,NA,1.808,NA,2.349,NA,1.818
TIANJIN HI-TECH DEV.'A',CN:TIA(P),CH,3.03,2.92,3.03,3.34,3.36,3.38,4.02,4,4.56,5.34,4.49,4.29,4.59,5.67,6.02,5.97,6.34,7.57,7.43,6.36,5.79,6.11,7.13,5.2,9.14,8.32,6.87,5.6,4.55,5.05,4.87,4.52,3.88,4.19,4.64,4.26,4.48,3.55,3.37,4.45,5.56,6.52,5.31,5.29,4.7,7.47,7.72,6.69,8.29,5.93,2.51,2.72,3.35,6.8,7.99,9.59,6.53,4.8,3.63,3.29,2.97,1.74,1.57
TIANJIN HI-TECH DEV.'A' - TOTAL ASSETS,CN:TIA(WC02999A),CH,2891378,2854127,3103876,2873141,2869978,2817552,2878090,2962382,2981281,3059694,3492407,3352082,3312880,3526158,3560967,3569698,3448923,3448487,3375690,3442666,3438325,3441112,3539866,3597135,3404875,3393070,3406168,3188523,3347761,3173592,3112074,2844496,2673543,2775948,2773421,2657698,2829465,2809887,3041981,3159518,2757092,2961419,2941591,2947669,2945586,2704164,2752888,2562040,2669749,2706806,3358870,3364570,2803331,2131765,1916843,1885841,997379,1043187,1002286,939055,1049572,1084796,1029145
TIANJIN HI-TECH DEV.'A' - MRKT VALUE TO BOOK,CN:TIA(MTBV),CH,1.12,1.08,1.12,1.24,1.24,1.25,1.52,1.51,1.72,2.02,1.71,1.63,1.75,2.16,2.3,2.28,2.43,2.9,2.87,2.45,2.23,2.36,2.62,1.91,3.36,3.06,2.54,2.07,1.68,1.87,1.85,1.71,1.47,1.59,1.8,1.65,1.74,1.38,1.32,1.74,2.17,2.55,2.04,2.04,1.81,2.88,2.98,2.58,3.2,2.29,1.01,1.1,1.35,2.74,3.44,4.14,2.34,1.72,3.55,3.22,2.91,1.7,1.73
TIANJIN HI-TECH DEV.'A' - MARKET VALUE,CN:TIA(MV),CH,1957.73,1886.66,1957.73,2158.03,2170.95,2183.87,2597.39,2584.46,2946.29,3450.26,2901.06,2771.83,2965.67,3663.48,3889.62,3857.31,4096.37,4891.09,4800.64,4109.29,3741.01,3947.76,4606.8,3359.8,5905.49,5375.68,4438.81,3618.25,2939.82,3262.88,3146.58,2920.44,2506.93,2707.22,2997.97,2752.45,2894.6,2293.71,2177.41,2875.21,3592.4,4212.67,3430.87,3417.95,3036.74,4826.48,4988.01,4322.51,5356.3,3834.7,1624.98,1760.67,2164.49,4393.59,5162.46,6199.47,3504.91,2574.38,1946.88,1767.21,1595.58,933.21,842.04
TIANJIN HI-TECH DEV.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:TIA(WC08287A),CH,1.696,1.65,1.78,1.718,1.693,1.66,1.682,1.729,1.739,1.795,2.059,1.993,1.96,2.078,2.109,2.189,2.085,2.08,2.016,2.016,1.995,1.981,2.016,2.067,1.941,1.948,1.951,1.812,1.945,1.853,1.825,1.685,1.578,1.659,1.666,1.611,1.718,1.686,1.839,1.826,1.609,1.743,1.753,1.783,1.794,1.612,1.644,1.562,1.637,1.65,2.096,2.234,1.863,1.405,1.279,1.331,1.806,1.886,1.828,1.837,2.054,2.21,2.117
CASIN REAL ESTATE DEVELOPMENT GROUP 'A',CN:SMA(P),CH,2.76,2.54,2.72,2.93,2.6,2.77,3.21,3.1,3.74,3.99,2.93,3.44,3.69,5.16,5.84,7.25,6.59,7.49,9.09,10.05,11.37,17.83,11.49,4.55,6.29,4.53,2.54,3.23,2.05,2.35,1.83,1.94,1.78,2.33,2.38,1.68,1.74,1.6,1.56,2.97,2.6,2.64,2.55,2.76,2.23,2.83,3.03,2.33,2.86,2.02,1.29,1.97,2.38,3.72,6.41,9.54,8.37,2.74,2.06,1.46,1.24,1.17,1.05
CASIN REAL ESTATE DEVELOPMENT GROUP 'A' - TOTAL ASSETS,CN:SMA(WC02999A),CH,16757436,18024340,18020245,17776508,18381978,18394106,17585467,16579164,15240415,14329218,12385211,10985561,9951553,9509807,8454910,8180706,6409068,5649525,5214327,5300768,4685889,4614360,5122974,4731215,3038932,2816042,2632875,2612578,2391530,2147964,2001200,2014194,1665012,1611192,1588027,1564737,1423744,1217007,1158122,916886,744295,712300,635783,668799,649469,611280,626063,646539,636300,643813,630491,638552,657905,715650,891503,128306,NA,NA,121569,130189,137339,129401,147946
CASIN REAL ESTATE DEVELOPMENT GROUP 'A' - MRKT VALUE TO BOOK,CN:SMA(MTBV),CH,1.54,1.42,1.52,1.64,1.45,1.55,1.78,1.72,2.08,2.22,1.71,2.01,2.15,3.01,3.61,4.48,4.07,4.62,6.13,6.78,7.67,12.03,8.23,3.25,2.59,1.87,3.66,4.65,2.96,3.39,3.03,3.21,2.94,3.84,4.53,3.19,3.32,3.05,3.29,6.24,5.47,5.55,4.92,5.31,4.29,5.44,5.44,4.17,5.13,3.62,2.3,3.51,4.24,6.64,11.79,12.64,11.08,3.63,9.93,7.07,5.96,5.62,5.44
CASIN REAL ESTATE DEVELOPMENT GROUP 'A' - MARKET VALUE,CN:SMA(MV),CH,3037.28,2795.17,2993.26,3224.36,2861.2,3048.28,3532.49,3411.43,4115.73,4390.84,3224.36,3785.59,4060.71,5678.39,6426.7,7978.35,7252.05,8242.46,10003.21,11059.65,12512.26,19621.25,12649.02,5002.37,3987.42,2870.65,1609.09,2045.3,1299.58,1491.44,1162.02,1230.8,1127.63,1473.34,1507.73,1062.47,1104.1,1015.41,990.07,1878.78,1648.91,1672.44,1618.14,1746.65,1409.99,1790.09,1920.41,1473.34,1810,1277.86,816.31,1245.28,1505.92,2355.71,4059.83,4350.01,3815.38,1248.35,938.38,667.48,563.29,531.38,479.93
CASIN REAL ESTATE DEVELOPMENT GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SMA(WC08287A),CH,8.604,9.301,9.157,9.308,9.776,9.252,8.885,8.808,8.33,7.679,6.568,6.219,5.656,5.294,4.743,4.822,3.893,3.45,3.196,3.304,2.894,3,3.333,3.097,6.321,6.972,5.988,6.419,5.764,5.232,5.222,6.736,5.291,4.914,4.775,5.66,4.999,4.097,3.843,2.891,2.301,2.187,1.933,1.942,1.875,1.758,1.773,1.858,1.821,1.829,1.777,1.774,1.83,2.008,2.59,1.347,NA,NA,1.287,1.436,1.529,1.463,1.678
TAHOE GROUP 'A',CN:FUS(P),CH,2.16,3.06,3.27,4.32,5.09,5.17,6.15,6.01,8.25,9.47,7.01,7.74,9.72,13.84,10.01,8.81,8.34,8.57,8.84,9.26,9.72,10.64,12.25,10.02,17.1,12.92,8.22,5.21,4.27,4.97,4.62,5.92,4.51,4.88,3.97,3.17,3.22,2.88,2.57,3.19,4.43,3.45,3.2,6.21,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.46,0.76,0.97,0.85,0.95,0.93
TAHOE GROUP 'A' - TOTAL ASSETS,CN:FUS(WC02999A),CH,217254924,215889810,213382678,224884889,221566413,220298621,220873179,228068666,236384933,245370010,241233082,240713467,234180340,225662634,205119983,182730832,161123949,145632319,122889099,118108707,103541569,85708567,84349676,79935151,71156565,66336616,62132485,59304002,53203299,43941751,35503194,29712347,23532739,14651174,13671205,10800408,9617370,8511069,8167891,7999157,6984559,5958126,5125779,6233452,5824779,5597289,583160,707916,738586,412549,429034,581181,606019,522112,434398,434311,369333,345890,331692,378856,391203,367141,356930
TAHOE GROUP 'A' - MRKT VALUE TO BOOK,CN:FUS(MTBV),CH,0.37,0.52,0.56,0.73,0.86,0.88,0.78,0.76,1.04,1.2,0.95,1.04,1.31,1.87,1.55,1.36,1.29,1.32,1.55,1.62,1.7,1.86,2.27,1.86,2.59,1.96,4.39,2.78,2.28,2.65,2.89,3.71,2.83,3.06,3.6,2.87,2.92,2.61,2.57,3.2,4.43,3.46,3.92,7.6,2.09,2.09,8.44,8.44,7.19,4.18,-1.8,-1.8,-1.8,-1.8,-1.03,-1.03,-1.03,-0.88,-0.25,-0.31,-0.28,-0.31,-0.31
TAHOE GROUP 'A' - MARKET VALUE,CN:FUS(MV),CH,5376.02,7616.04,8138.7,10752.05,12668.5,12867.62,15306.74,14958.29,20533.43,23569.9,17447.2,19264.09,24204.56,34446.39,24913.91,21939.67,20757.43,21342.32,22014.34,23047.23,24192.13,26481.91,30489.04,24951.24,34787.48,26294.05,16732.57,10598.99,8686.7,10120.92,9398.72,12053.55,9185.11,9937.82,8086.56,6448.9,6560.79,5858.94,5228.29,6499.77,9012.2,7028.7,6509.93,12633.34,3478.75,3478.75,797.06,797.06,678.76,394.32,678.76,678.76,678.76,678.76,678.76,678.76,678.76,581.51,192.33,245.48,215.11,241.68,235.36
TAHOE GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:FUS(WC08287A),CH,16.345,15.121,14.567,12.73,12.27,11.314,11.212,10.363,10.9,11.472,13.069,11.762,11.694,13.469,12.734,11.954,10.879,10.14,8.635,8.523,7.608,6.294,6.273,8.249,12.421,12.791,16.298,16.265,15.459,13.773,10.928,9.769,8.113,6.006,6.083,4.949,4.652,4.176,4.019,4.63,4.145,3.641,3.085,4.296,4.051,4.174,6.175,86.331,25.35,-1.129,-1.136,-1.485,-1.588,-0.863,-0.657,-0.554,-0.472,-0.438,-0.424,-0.495,-0.515,-0.485,-0.476
CHINA WU YI 'A',CN:CIW(P),CH,3.12,2.94,3.17,3.5,3.82,3.36,3.49,3.32,3.79,4.77,3.79,3.87,4.44,5.78,7.04,8.3,6.01,6.04,5.6,5.63,4.79,4.94,6.6,4.58,10.57,5.58,3.19,3.76,2.05,2.27,2.23,2.4,2.28,2.24,1.5,1.32,1.41,1.49,1.14,1.4,1.74,1.85,1.8,1.98,1.98,2.6,2.33,1.82,2.13,1.99,0.97,1.11,1.33,2.48,3.66,4.06,1.75,2.11,1.18,1.36,1.36,0.93,0.82
CHINA WU YI 'A' - TOTAL ASSETS,CN:CIW(WC02999A),CH,23483858,23960703,23194676,24205592,23744695,23194591,20193171,17871890,17322851,16479946,15702465,15449087,15016811,14543856,15161717,12696540,12130727,11298559,10815204,11007461,10832197,10207378,9868790,9119766,8692653,8521743,7880792,7561906,7478160,7379610,NA,7207104,6911131,7045940,6685565,6869645,6826165,5794805,5608834,5447558,4970947,5382035,5188812,4817206,4867568,5209429,5118296,5872906,5345437,5052151,4584968,4457333,4395195,4202066,4249524,4076264,3963436,3710085,3752501,3756609,3305239,3469530,3455593
CHINA WU YI 'A' - MRKT VALUE TO BOOK,CN:CIW(MTBV),CH,0.92,0.86,0.93,1.03,1.12,0.99,1.04,0.99,1.13,1.41,1.19,1.21,1.39,1.81,2.3,2.69,1.95,1.95,3.89,3.92,3.33,3.43,7.08,4.91,11.34,5.99,2.89,3.4,1.85,2.06,2.18,2.35,2.23,2.19,1.58,1.39,1.49,1.57,1.27,1.57,1.95,2.07,2.02,2.22,2.22,2.92,2.81,2.19,2.57,2.4,1.35,1.55,1.85,3.45,4.83,5.36,2.31,2.79,1.58,1.83,1.83,1.25,1.14
CHINA WU YI 'A' - MARKET VALUE,CN:CIW(MV),CH,4901.51,4618.73,4980.06,5500.3,6003.18,5280.29,5484.58,5219.24,5960.73,7493.49,5963.33,6081.29,6973.03,9079.05,11064.14,12944.77,9376.21,9416.19,8731.47,8786.45,7466.98,7701.88,8700.36,6036.51,13934.6,7360.64,4206.08,4953.83,2698.9,2994.89,2940.36,3170.14,3002.68,2955.94,1978.42,1740.85,1861.58,1966.73,1499.39,1846,2293.87,2434.08,2371.76,2613.22,2609.33,3431.07,3072.78,2395.13,2811.84,2621.01,1273.51,1464.34,1748.64,3263.61,4825.3,5354.96,2305.56,2784.58,1553.91,1799.27,1799.27,1230.67,1078.78
CHINA WU YI 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:CIW(WC08287A),CH,4.442,4.457,4.334,4.811,4.636,4.387,3.812,3.5,3.455,3.259,3.127,3.146,3.123,3.01,3.148,5.569,5.424,4.907,4.821,5.393,5.244,4.959,8.029,8.583,7.714,7.739,5.412,5.305,5.419,5.437,NA,5.548,5.383,5.535,5.353,5.841,5.685,4.822,4.761,4.695,4.244,4.529,4.418,4.243,4.353,4.657,4.684,5.912,5.296,5.145,4.846,4.789,4.671,4.27,4.252,4.157,4.257,3.974,3.807,3.859,3.423,3.646,3.644
SANXIANG IMPRESSION 'A',CN:STA(P),CH,3.29,4.13,4.55,3.81,4.24,4.47,4.64,5.22,5.26,4.98,3.91,4.06,4.41,4.8,5.29,7.18,7.32,8.26,8.49,9.64,9.2,9.73,11.75,9.5,7.52,7.52,7.26,6.86,5.95,6.11,6.56,6.01,5.81,6.16,7.51,6.02,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.89,2.61,2.61,1.89,1.67,1.78
SANXIANG IMPRESSION 'A' - TOTAL ASSETS,CN:STA(WC02999A),CH,7537605,9038129,9450907,10892272,15094847,12574057,12577827,13003335,12784579,12120993,12849028,13267259,13260207,12913887,12950617,14282080,12411636,12201645,13693406,14165756,15422762,13026086,13264277,12918727,12598919,11501726,11389597,9280716,9024129,9164696,7975417,6905450,6125860,5201788,5121965,5394665,4815655,4557077,4670865,171255,168730,170285,170848,163084,182443,185229,185614,191777,196767,197877,197990,210625,234727,250581,267237,252471,263878,243029,254239,627722,627598,NA,644328
SANXIANG IMPRESSION 'A' - MRKT VALUE TO BOOK,CN:STA(MTBV),CH,0.82,1.03,1.13,0.95,1.18,1.25,1.09,1.22,1.23,1.17,0.95,0.98,1.08,1.17,1.14,1.55,1.58,1.79,1.85,2.1,2.01,1.46,3.78,3.06,2.42,2.35,2.26,1.7,1.47,1.51,2.63,2.41,2.33,2.47,4.08,3.27,1.9,1.9,2.78,0.66,0.66,0.66,-0.6,-0.6,-0.6,-0.6,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.48,-0.33,-0.33,-0.24,-0.21,-0.79
SANXIANG IMPRESSION 'A' - MARKET VALUE,CN:STA(MV),CH,4030.93,5060.11,5574.7,4668.04,5814.19,6129.58,6362.7,7158.03,7212.88,6828.93,5361.66,5567.36,6093.53,6632.41,7309.47,9920.98,10123.46,11423.47,11741.55,13331.99,12776.86,9306.57,11238.66,9086.57,7192.74,6982.18,6740.77,5067.41,4395.21,4513.4,4845.81,4439.53,4291.79,4550.33,5547.56,4446.91,2585.42,2585.42,2585.42,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,611.17,504.65,353.97,353.97,256.32,226.49,241.4
SANXIANG IMPRESSION 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:STA(WC08287A),CH,1.623,1.812,1.923,2.273,2.586,2.148,2.15,2.199,2.148,2.02,2.273,2.132,2.155,2.046,2.027,2.207,1.909,1.894,2.155,2.323,2.469,3.844,4.46,4.297,4.089,3.943,3.816,4.957,4.806,4.936,4.336,4.928,4.289,3.809,3.768,5.025,4.638,4.993,5.028,-0.162,-0.162,-0.165,-0.167,-0.157,-0.178,-0.181,-0.18,-0.178,-0.185,-0.191,-0.191,-0.197,-0.238,-0.245,-0.256,-0.226,-0.24,-0.224,-0.237,-1.711,-1.779,NA,-2.12
ZHE JIANG DONG RI 'A',CN:ZJD(P),CH,6.1,6.05,6.56,6.24,6.4,6.15,7.17,7.02,7.49,8.33,6.42,7,7.37,10.7,9.2,11.73,12.45,16.48,19.54,16.6,10.85,10.85,13.34,7.66,16.27,13.15,11.56,7.51,7.51,7.69,7.95,10.1,7.48,8.27,9.06,8.29,10.46,5.94,4.12,6.07,7.17,6.47,6.11,5.05,3.69,5.12,3.83,2.97,3.41,2.71,1.78,1.9,2.17,3.42,3.78,4.14,3.72,2.86,1.77,1.79,1.67,1.3,1.59
ZHE JIANG DONG RI 'A' - TOTAL ASSETS,CN:ZJD(WC02999A),CH,2229628,2110166,1944936,1889895,1952114,1910079,1899911,1765543,1736737,1734458,1058357,1028325,996160,992890,1001384,970074,918969,927268,916740,908545,911762,870476,881495,1258144,1221244,1179925,1059209,1102194,1034962,999418,914924,860225,842526,779303,781453,764357,751726,762272,747049,747392,744231,989326,1046614,1043220,958631,903718,844823,792226,629570,626978,618534,639253,626847,540795,605722,626874,571786,540893,521334,510203,501990,490171,483978
ZHE JIANG DONG RI 'A' - MRKT VALUE TO BOOK,CN:ZJD(MTBV),CH,1.71,1.7,1.84,1.75,1.8,1.73,2.03,1.98,2.12,2.35,3.97,3.36,3.54,5.13,4.91,6.26,6.65,8.8,12.13,10.3,6.73,6.73,9.96,5.72,12.15,9.82,6.96,4.52,4.52,4.63,4.88,6.2,4.59,5.07,5.76,5.27,6.65,3.78,2.76,4.07,4.81,4.34,4.62,3.82,2.79,3.87,3.22,2.5,2.87,2.28,1.58,1.68,1.92,3.03,3.46,3.79,3.4,2.62,1.63,1.66,1.54,1.2,1.49
ZHE JIANG DONG RI 'A' - MARKET VALUE,CN:ZJD(MV),CH,2509.73,2489.16,2698.99,2567.33,2633.16,2530.3,2949.96,2888.25,3081.62,3427.22,2933.5,2478.71,2609.33,3788.15,3256.09,4151.36,4406.23,5833.56,6916.8,5874.98,3839.13,3839.13,4721.65,2711.29,5760.29,4654.74,4090.82,2657.12,2657.12,2720.84,2813.24,3574.69,2647.57,2927.93,3208.3,2934.31,3702.13,2102.76,1459.19,2147.36,2539.24,2290.73,2161.76,1786.52,1307.44,1812.78,1357,1051.68,1208.03,960.23,631.3,672.6,768.47,1211.86,1338.12,1465.56,1316.88,1013.62,625.4,634.84,590,459.02,564.04
ZHE JIANG DONG RI 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:ZJD(WC08287A),CH,1.465,1.413,1.326,1.228,1.301,1.297,1.304,1.218,1.234,1.262,1.434,1.43,1.459,1.46,1.511,1.51,1.509,1.586,1.607,1.651,1.734,1.755,1.859,2.102,2.04,2.002,1.803,1.889,1.757,1.728,1.586,1.494,1.469,1.387,1.404,1.375,1.357,1.423,1.414,1.407,1.413,2.109,2.237,2.315,2.219,2.117,2.007,1.926,1.549,1.547,1.546,1.618,1.606,1.384,1.566,1.621,1.493,1.417,1.361,1.336,1.322,1.286,1.283
WUHAN ET.LK.HI.TECH.GP. 'A',CN:WEL(P),CH,5.95,6.17,5.56,5.81,5.65,5.77,5.36,5.23,6.31,7.28,6.3,5.46,8.42,9.53,9.29,10.39,9.59,7.99,8.22,8.5,7.56,8.62,12.1,9.55,11.51,10.32,8.35,7.16,5.12,5.16,5.64,5.91,5.08,5.8,5.55,6.57,6.79,7.17,8.79,8.79,8.79,9.83,9.63,10.64,7.57,11.82,6.11,3.57,3.73,3.1,1.92,2.39,3.08,5.37,5.82,6.19,6.12,5.41,2.86,3.58,4.19,2.08,2.02
WUHAN ET.LK.HI.TECH.GP. 'A' - TOTAL ASSETS,CN:WEL(WC02999A),CH,27286537,26270555,27011968,25303152,25467442,25205413,26471401,26843560,24529723,24380931,23470624,23270642,22812690,22187966,22708851,21651168,20971179,20575260,20618983,17604471,18050888,18563702,16327098,15041962,14682667,14191967,13391869,12388996,11828200,10219878,10300328,8870485,8563316,8356195,7479428,3439368,3134453,2940118,2973036,3416269,3487618,3195199,3135114,3120548,3117157,3126963,2930833,2803113,2566295,2412608,2447966,2088494,2002808,1757363,1564474,1292461,1282303,1246023,1253345,1313295,1342122,1425569,1485537
WUHAN ET.LK.HI.TECH.GP. 'A' - MRKT VALUE TO BOOK,CN:WEL(MTBV),CH,0.88,0.91,0.82,0.86,0.84,0.81,0.9,0.87,1.02,1.17,1.2,1.04,1.6,1.81,1.85,1.81,1.67,1.39,2.78,2.87,2.56,2.91,4.48,3.54,4.27,3.82,3.49,2.99,2.14,2.16,3.04,3.18,2.73,2.92,2.45,2.43,2.51,2.65,4.92,4.92,4.92,5.5,5.31,5.86,4.17,6.51,3.33,1.94,2.03,1.69,1.14,1.41,1.82,3.18,3.57,3.8,3.76,3.32,1.82,2.27,2.66,1.32,1.31
WUHAN ET.LK.HI.TECH.GP. 'A' - MARKET VALUE,CN:WEL(MV),CH,4733.04,4908.04,4422.8,4621.67,4494.4,4349.44,4040.38,3942.38,4579.67,5283.67,4572.41,3962.75,6111.06,6916.68,6742.49,6589.93,6082.53,5067.71,5213.6,5391.19,4794.98,5467.3,7674.52,6057.16,7300.3,6545.54,5296.05,4541.28,3247.4,3272.77,3577.21,3748.46,3222.03,3435.77,3287.68,3259.15,3368.29,3556.79,4360.41,4360.41,4360.41,4876.32,4777.11,5278.14,3755.22,5863.5,3031.51,1769.3,1849.22,1537.8,953.55,1185.05,1526.78,2664.97,2885.45,3072.85,3037.02,2681.51,1419.3,1774.81,2077.96,1030.71,1003.15
WUHAN ET.LK.HI.TECH.GP. 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:WEL(WC08287A),CH,4.69,4.851,5.019,5.079,5.261,5.662,5.867,6.324,6.245,6.296,6.137,6.353,6.269,6.041,6.223,8.31,8.172,8.034,10.988,10.173,10.527,10.826,9.539,9.712,9.607,9.304,8.826,9.461,9.385,8.42,8.74,8.748,8.659,6.208,5.57,3.905,3.519,3.274,3.355,4.358,4.321,3.608,3.482,3.408,3.362,3.451,3.22,3.205,2.943,2.822,2.917,2.504,2.412,2.141,1.936,1.603,1.596,1.589,1.605,1.684,1.737,1.849,1.935
BECE LEGEND GROUP 'A',CN:SMS(P),CH,14.67,12.67,13.39,14.86,12.3,12.44,13.91,15.11,16.99,15.05,12.21,12.28,15.88,20.9,23.46,24.1,22.95,20.6,21.24,21.24,21.24,22.9,30.12,14.74,26.27,16.6,10.65,14.49,9.16,7.88,7.64,8.14,6.63,7.39,7.03,8.68,7.68,7.97,5.98,8.89,9.6,10.17,8.55,8.65,7.26,10.43,7.85,6.44,7.58,5.18,3.2,3.36,4.74,7.73,9.97,8.6,7.39,7.12,4.2,3.12,4.3,7.56,10.78
BECE LEGEND GROUP 'A' - TOTAL ASSETS,CN:SMS(WC02999A),CH,1928254,1786774,1792003,967905,973670,361911,385775,1013901,1051353,1080251,1309639,1176738,1276753,1255657,1301061,515761,522433,535118,525603,478545,489642,480471,473690,459097,456597,441314,457348,509399,502549,525771,490820,425670,375535,326604,286266,272329,263857,271223,274294,219720,218949,213536,213276,227197,221652,224660,230030,235392,231121,221609,221848,212798,209659,215502,226463,255484,258783,255516,277099,307265,316076,326841,338743
BECE LEGEND GROUP 'A' - MRKT VALUE TO BOOK,CN:SMS(MTBV),CH,4.68,4.05,4.28,4.72,3.35,2.81,-16.04,-17.42,-19.59,-17.35,18.05,18.16,23.48,30.9,36.04,37.02,35.25,31.64,44.18,44.18,44.18,47.63,32.67,15.99,28.49,18.01,9.01,12.25,7.75,6.66,6.63,7.06,5.75,6.41,6.88,8.5,7.52,7.8,6.4,9.52,10.28,10.89,9.65,9.76,8.19,11.77,7.67,6.29,7.4,5.06,3.16,3.32,4.68,7.63,12.3,10.61,9.12,8.79,4.49,3.33,3.64,6.41,9.31
BECE LEGEND GROUP 'A' - MARKET VALUE,CN:SMS(MV),CH,2803.3,2421.12,2558.7,2826.75,2006.41,1683.77,1776.74,1930.01,2170.15,1922.35,1559.59,1568.54,2028.37,2669.58,2996.57,3078.32,2931.42,2631.26,2713,2713,2713,2925.04,3847.25,1882.75,3355.49,2120.33,1360.33,1850.82,1170.02,1006.52,975.86,1039.73,846.86,943.93,897.95,1108.7,980.97,1018.02,763.83,1135.53,1226.22,1299.02,1092.1,1104.87,927.33,1332.23,1002.69,822.59,968.2,661.65,408.74,429.18,605.44,987.36,1273.48,1098.49,943.93,909.44,536.47,398.52,435.85,766.29,1092.67
BECE LEGEND GROUP 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:SMS(WC08287A),CH,3.081,2.898,2.995,1.827,4.015,-3.054,-3.483,43.721,28.862,15.566,15.159,16.862,16.019,16.045,15.646,20.943,14.446,11.202,8.558,5.755,5.137,4.366,4.022,3.291,3.172,2.951,3.028,3.399,3.377,3.668,3.333,3.876,3.214,2.562,2.194,2.475,2.391,2.357,2.3,2.02,1.951,1.94,1.884,1.821,1.678,1.712,1.759,1.838,1.773,1.705,1.715,1.844,1.994,2.07,2.188,2.614,2.702,2.543,2.317,2.672,2.796,2.85,2.886
WUHAN DDMC CULTURE & SPORTS 'A',CN:WDA(P),CH,6.05,6.15,6.84,6.88,8.16,8.43,12.3,11.2,10.7,12.89,8.17,12.79,12.1,16.34,13.99,15.27,16.79,16.79,16.43,18.79,23.15,30.18,31.18,16.46,12.62,12.62,7.08,8.63,8.29,5.47,5.27,5.08,4.13,5.35,3.75,3.8,4.14,4.24,3.74,4.2,5.42,6.59,5.56,5.39,3.77,6.55,5.37,5.44,4.33,2.86,1.72,1.75,3.67,4.48,4.48,5.03,3.75,3.06,1.56,2.09,1.74,1.61,1.69
